Account Number,Account Opening Balance,Ledger Balance,Clearing Hold,Account status code,Country Code,Account Currency
1234500001,415420,727166,772,1,USA,USD
1234500002,635318,56724,248,5,IND,INR
1234500003,928475,58137,504,5,IND,INR
1234500004,642183,860133,620,5,IND,INR
1234500005,653846,785181,191,5,IND,INR
1234500006,553126,208135,660,5,IND,INR
1234500007,69729,548920,170,5,IND,INR
1234500008,929956,154794,877,5,IND,INR
1234500009,538625,221841,384,5,IND,INR
1234500010,501810,549471,831,5,IND,INR
1234500011,10,887644,902,5,IND,INR
1234500012,20,574541,518,5,IND,INR
1234500013,30,835660,957,5,IND,INR
1234500014,40,560755,734,5,USA,USD
1234500015,50,805083,882,5,USA,USD
1234500016,60,126379,555,1,USA,USD
1234500017,70,518885,154,1,USA,USD
1234500018,80,580055,378,1,USA,USD
1234500019,90,665338,572,1,USA,USD
1234500020,100,482406,849,1,USA,USD
1234500021,10,273805,378,1,USA,USD
1234500022,20,406380,119,1,USA,USD
1234500023,30,442785,290,1,USA,USD
1234500024,40,820652,995,1,USA,USD
1234500025,50,960875,724,1,USA,USD
1234500026,60,203553,721,8,CAN,CAD
1234500027,70,78501,230,8,CAN,CAD
1234500028,80,282860,152,8,CAN,CAD
1234500029,90,941110,168,8,CAN,CAD
1234500030,100,165473,625,8,CAN,CAD
1234500031,814496,134565,959,8,CAN,CAD
1234500032,111049,246684,284,8,CAN,CAD
1234500033,715913,39901,219,8,CAN,CAD
1234500034,506831,522175,523,8,CAN,CAD
1234500035,905113,474297,366,8,CAN,CAD
1234500036,910610,753821,270,8,CAN,CAD
1234500037,199662,514464,371,8,CAN,CAD
1234500038,628638,294807,525,8,CAN,CAD
1234500039,844566,646594,875,8,CAN,CAD
1234500040,505981,536391,270,8,CAN,CAD
1234500041,164321,98215,597,8,CAN,CAD
1234500042,13632,118141,651,8,CAN,CAD
1234500043,30391,444303,450,8,CAN,CAD
1234500044,52499,770030,575,8,CAN,CAD
1234500045,951991,211871,172,8,CAN,CAD
1234500046,683073,553672,731,8,USA,USD
1234500047,906665,137196,406,8,USA,USD
1234500048,128261,627122,843,8,USA,USD
1234500049,261690,438559,760,8,USA,USD
1234500050,23985,448836,788,8,USA,USD
1234500051,295852,338481,440,8,USA,USD
1234500052,675609,489316,689,8,USA,USD
1234500053,537691,640228,668,8,USA,USD
1234500054,514542,705141,746,8,USA,USD
