Account Number,First name,Middle Name,Last name,Date of birth,Joint account or not,Joint Account Number
1234500001,Rudy,Louise,De,1988-02-22,yes,1234551236
1234500002,Davide,John,Barbieri,1975-04-08,yes,1234556694
1234500003,Sig.,Louise,Negri,1985-07-16,yes,1234559737
1234500004,Sig.,Louise,Rinaldi,1991-02-13,no,
1234500005,Ilario,William,Farina,1989-06-03,yes,1234554412
1234500006,Nayade,James,Bianco,1989-11-29,no,
1234500007,Carlo,Louise,Milani,1998-01-05,yes,1234555260
1234500008,Rosita,Louise,Palumbo,1995-09-30,no,
1234500009,Mirko,John,Marino,1976-06-13,no,
1234500010,Sig.,James,Russo,1975-06-29,yes,1234552410
1234500011,Ivano,Grace,Gerlando,1996-12-15,no,
1234500012,Soriana,Grace,Conti,1994-01-20,yes,1234553903
1234500013,Sirio,Thomas,Costantini,1978-12-25,yes,1234554042
1234500014,Quarto,Thomas,Morelli,1984-09-07,yes,1234552252
1234500015,Alan,Jane,Colombo,1986-05-21,yes,1234559816
1234500016,Mattia,Louise,Santoro,1998-04-17,yes,1234550971
1234500017,Aaron,David,De,1976-11-10,yes,1234553565
1234500018,Giacinto,Grace,Davis,1997-09-11,no,
1234500019,Sig.ra,Rose,D'angelo,1998-07-30,yes,1234552826
1234500020,Osvaldo,Jane,Rizzi,1980-03-20,no,
1234500021,Thea,James,Bellini,1981-04-01,no,
1234500022,Dott.,Thomas,D'amico,1989-07-16,no,
1234500023,Rosalba,David,Santoro,1987-01-11,no,
1234500024,Sig.ra,Jane,Gatti,1990-03-11,no,
1234500025,Guendalina,David,Gentile,1983-06-28,yes,1234553153
1234500026,Italo,Grace,De,1996-10-13,no,
1234500027,Sig.,Louise,Sirio,1994-12-10,yes,1234559491
1234500028,Ninfa,Jane,Mancini,1984-12-15,no,
1234500029,Rudy,Thomas,Giordano,1977-12-29,no,
1234500030,Noemi,Grace,De,1998-05-26,no,
1234500031,Sig.,Jane,Bellini,1976-04-29,yes,1234554870
1234500032,Lamberto,Grace,Valentini,1993-09-23,yes,1234552884
1234500033,Gelsomina,John,Damico,1983-05-09,no,
1234500034,Gianleonardo,Rose,Gianantonio,1981-08-01,no,
1234500035,Dott.,David,Bernardi,1976-09-12,yes,1234557751
1234500036,Sig.,Grace,Giuliani,1986-05-09,no,
