Account Number,Transaction Posting date,Transaction capture date,Transaction amount,Debit or Credit,Transaction code,Transaction Currency
1234500530,2017-10-31,2017-10-31,403,C,2001,HKD
1234500229,2018-03-15,2018-03-15,883,D,10001,USD
1234500978,2017-07-31,2017-07-31,1098,C,2001,CAD
1234500967,2017-11-12,2017-11-12,702,C,2001,CAD
1234500899,2017-07-15,2017-07-15,1159,D,10001,CAD
1234500272,2017-09-02,2017-09-02,916,C,2001,CAD
1234500755,2018-02-25,2018-02-25,1203,D,10001,CAD
1234500137,2017-12-14,2017-12-14,788,C,2001,USD
1234500567,2017-12-06,2017-12-06,757,C,2001,CAD
1234500347,2017-10-30,2017-10-30,578,C,2001,CAD
1234500969,2017-07-18,2017-07-18,228,C,2001,INR
1234500499,2018-03-23,2018-03-23,733,D,10001,INR
1234500056,2017-08-24,2017-08-24,1276,C,2001,INR
1234500716,2017-12-11,2017-12-11,991,C,2001,CAD
1234500762,2017-07-13,2017-07-13,275,C,2001,USD
1234500859,2017-10-19,2017-10-19,1401,D,10001,INR
1234500423,2017-09-16,2017-09-16,1247,D,10001,CAD
1234500492,2018-02-07,2018-02-07,826,C,2001,INR
1234500829,2018-03-10,2018-03-10,234,D,10001,CAD
1234500639,2017-07-29,2017-07-29,388,D,10001,HKD
1234500506,2018-01-18,2018-01-18,1090,D,10001,HKD
1234500885,2018-02-11,2018-02-11,320,D,10001,USD
1234500904,2018-02-24,2018-02-24,265,C,2001,HKD
1234500477,2017-11-20,2017-11-20,1213,C,2001,INR
1234500712,2017-10-06,2017-10-06,193,D,10001,USD
1234500328,2017-08-21,2017-08-21,1158,C,2001,HKD
1234500778,2017-09-25,2017-09-25,499,D,10001,USD
1234500834,2017-07-24,2017-07-24,1402,D,10001,CAD
1234500017,2017-08-11,2017-08-11,517,C,2001,USD
1234500288,2017-12-07,2017-12-07,1152,D,10001,USD
1234500232,2017-10-20,2017-10-20,1215,D,10001,HKD
1234500545,2018-03-06,2018-03-06,1368,D,10001,INR
1234500949,2017-08-18,2017-08-18,1477,C,2001,CAD
1234500970,2017-07-17,2017-07-17,580,D,10001,INR
1234500733,2017-07-01,2017-07-01,1163,C,2001,USD
1234500972,2017-08-22,2017-08-22,1390,D,10001,USD
1234500173,2017-10-11,2017-10-11,1331,D,10001,CAD
1234500097,2018-01-01,2018-01-01,671,D,10001,USD
1234500984,2018-03-26,2018-03-26,276,D,10001,INR
1234500477,2017-11-07,2017-11-07,1265,D,10001,HKD
1234500148,2017-09-22,2017-09-22,862,C,2001,CAD
1234500091,2018-01-06,2018-01-06,933,D,10001,USD
1234500381,2017-11-25,2017-11-25,645,D,10001,INR
1234500902,2017-09-18,2017-09-18,1185,C,2001,INR
1234500729,2018-03-03,2018-03-03,252,D,10001,HKD
1234500319,2017-08-19,2017-08-19,309,C,2001,HKD
1234500769,2017-08-04,2017-08-04,1428,D,10001,USD
1234500397,2017-09-13,2017-09-13,1049,D,10001,CAD
1234500636,2017-08-14,2017-08-14,436,C,2001,HKD
1234500045,2017-11-05,2017-11-05,653,D,10001,INR
1234500802,2018-01-22,2018-01-22,464,D,10001,CAD
1234500644,2017-11-05,2017-11-05,402,D,10001,USD
1234500688,2017-08-09,2017-08-09,776,D,10001,CAD
1234500483,2017-11-13,2017-11-13,944,D,10001,CAD
1234500776,2018-03-03,2018-03-03,514,D,10001,CAD
1234500644,2017-11-19,2017-11-19,1251,C,2001,INR
1234500189,2018-01-20,2018-01-20,131,C,2001,CAD
1234500147,2018-01-24,2018-01-24,489,D,10001,CAD
1234500749,2017-10-20,2017-10-20,481,C,2001,USD
1234500937,2018-03-04,2018-03-04,826,C,2001,USD
1234500282,2017-11-16,2017-11-16,813,D,10001,USD
1234500127,2018-03-22,2018-03-22,134,C,2001,INR
1234500606,2017-12-13,2017-12-13,266,D,10001,INR
1234500362,2018-01-13,2018-01-13,1212,C,2001,USD
1234500228,2017-09-11,2017-09-11,900,C,2001,INR
1234500234,2017-08-28,2017-08-28,1455,C,2001,INR
1234500056,2017-11-25,2017-11-25,338,C,2001,USD
1234500680,2018-01-30,2018-01-30,1321,D,10001,INR
1234500367,2017-08-30,2017-08-30,1128,D,10001,USD
1234500659,2017-08-31,2017-08-31,418,C,2001,INR
1234500964,2017-10-04,2017-10-04,1433,C,2001,CAD
1234500432,2018-01-16,2018-01-16,540,C,2001,HKD
1234500333,2017-11-12,2017-11-12,870,D,10001,USD
1234500775,2017-10-02,2017-10-02,289,D,10001,USD
1234500839,2017-12-31,2017-12-31,677,D,10001,USD
1234500819,2018-02-28,2018-02-28,774,C,2001,HKD
1234500830,2017-10-07,2017-10-07,420,D,10001,INR
1234500788,2017-08-08,2017-08-08,174,C,2001,HKD
1234500237,2017-11-15,2017-11-15,1165,D,10001,USD
1234500498,2017-10-13,2017-10-13,1259,D,10001,HKD
1234500393,2018-01-01,2018-01-01,1222,D,10001,HKD
1234500484,2018-03-25,2018-03-25,1145,D,10001,USD
1234500586,2018-02-21,2018-02-21,627,C,2001,INR
1234500372,2017-07-09,2017-07-09,1239,C,2001,USD
1234500293,2018-01-10,2018-01-10,872,D,10001,CAD
1234500896,2017-12-26,2017-12-26,1005,D,10001,USD
1234500226,2018-03-20,2018-03-20,803,D,10001,USD
1234500176,2017-10-04,2017-10-04,668,D,10001,USD
1234500540,2017-12-12,2017-12-12,172,C,2001,CAD
1234500190,2017-07-29,2017-07-29,336,D,10001,HKD
1234500962,2017-09-30,2017-09-30,740,D,10001,INR
1234500049,2017-08-31,2017-08-31,1404,D,10001,HKD
1234500450,2017-07-30,2017-07-30,793,D,10001,INR
1234500166,2017-11-28,2017-11-28,250,D,10001,HKD
1234500861,2017-12-14,2017-12-14,1035,D,10001,HKD
1234500630,2017-11-29,2017-11-29,265,C,2001,USD
1234500614,2018-02-12,2018-02-12,1451,C,2001,INR
1234500441,2017-12-06,2017-12-06,209,D,10001,HKD
1234500944,2017-09-29,2017-09-29,1384,C,2001,HKD
1234500432,2017-07-20,2017-07-20,614,D,10001,HKD
1234500200,2018-03-08,2018-03-08,295,D,10001,HKD
1234500887,2017-08-21,2017-08-21,968,C,2001,CAD
1234500539,2017-08-18,2017-08-18,1408,C,2001,CAD
1234500436,2017-09-04,2017-09-04,196,C,2001,INR
1234500061,2018-02-20,2018-02-20,785,D,10001,HKD
1234500211,2017-10-09,2017-10-09,1091,C,2001,INR
1234500659,2017-12-09,2017-12-09,777,D,10001,HKD
1234500657,2017-08-30,2017-08-30,696,C,2001,HKD
1234500603,2017-08-25,2017-08-25,631,C,2001,INR
1234500955,2018-03-15,2018-03-15,1414,C,2001,USD
1234500582,2018-03-06,2018-03-06,524,D,10001,USD
1234500455,2018-02-23,2018-02-23,585,D,10001,USD
1234500910,2017-07-30,2017-07-30,717,D,10001,HKD
1234500684,2018-02-04,2018-02-04,1484,D,10001,CAD
1234500214,2017-10-15,2017-10-15,1412,C,2001,INR
1234500016,2018-03-04,2018-03-04,1231,C,2001,CAD
1234500437,2017-10-11,2017-10-11,747,D,10001,USD
1234500749,2017-07-03,2017-07-03,570,D,10001,HKD
1234500802,2017-08-15,2017-08-15,1313,C,2001,INR
1234500058,2017-12-30,2017-12-30,206,C,2001,HKD
1234500001,2018-01-14,2018-01-14,319,D,10001,USD
1234500403,2017-09-07,2017-09-07,273,C,2001,INR
1234500095,2017-11-11,2017-11-11,1317,D,10001,INR
1234500417,2017-11-14,2017-11-14,1182,C,2001,USD
1234500954,2018-02-10,2018-02-10,634,C,2001,USD
1234500859,2017-08-25,2017-08-25,1292,C,2001,USD
1234500012,2018-01-13,2018-01-13,508,C,2001,HKD
1234500579,2017-08-04,2017-08-04,851,C,2001,HKD
1234500168,2017-07-07,2017-07-07,1133,C,2001,HKD
1234500238,2017-11-11,2017-11-11,607,C,2001,USD
1234500014,2017-12-09,2017-12-09,344,C,2001,INR
1234500946,2017-07-13,2017-07-13,447,D,10001,CAD
1234500946,2018-03-08,2018-03-08,573,C,2001,INR
1234500662,2018-03-11,2018-03-11,893,D,10001,USD
1234500717,2017-10-18,2017-10-18,693,D,10001,USD
1234500095,2017-11-29,2017-11-29,625,D,10001,INR
1234500278,2017-12-09,2017-12-09,410,D,10001,INR
1234500362,2018-01-28,2018-01-28,1007,C,2001,HKD
1234500677,2018-01-02,2018-01-02,678,D,10001,HKD
1234500114,2018-03-02,2018-03-02,757,C,2001,CAD
1234500058,2017-10-02,2017-10-02,567,D,10001,USD
1234500266,2017-11-21,2017-11-21,1042,D,10001,INR
1234500597,2017-09-09,2017-09-09,639,D,10001,INR
1234500051,2018-03-25,2018-03-25,1028,D,10001,USD
1234500014,2017-10-06,2017-10-06,1430,C,2001,INR
1234500955,2018-03-08,2018-03-08,829,C,2001,CAD
1234500702,2017-11-21,2017-11-21,1225,D,10001,CAD
1234500900,2018-02-26,2018-02-26,313,C,2001,INR
1234500928,2018-03-14,2018-03-14,805,C,2001,USD
1234500402,2018-03-15,2018-03-15,909,C,2001,USD
1234500238,2017-07-26,2017-07-26,369,C,2001,USD
1234500022,2017-09-05,2017-09-05,163,C,2001,INR
1234500924,2017-07-26,2017-07-26,439,D,10001,HKD
1234500560,2017-09-30,2017-09-30,621,D,10001,INR
1234500056,2017-12-23,2017-12-23,1206,C,2001,HKD
1234500918,2017-07-13,2017-07-13,953,D,10001,INR
1234500093,2018-01-07,2018-01-07,1025,C,2001,USD
1234500580,2017-11-17,2017-11-17,680,C,2001,INR
1234500099,2017-10-15,2017-10-15,914,D,10001,CAD
1234500474,2017-07-14,2017-07-14,808,C,2001,HKD
1234500580,2017-10-06,2017-10-06,544,C,2001,HKD
1234500306,2018-03-22,2018-03-22,1131,C,2001,USD
1234500082,2017-08-08,2017-08-08,1343,C,2001,INR
1234500169,2017-08-25,2017-08-25,367,D,10001,USD
1234500622,2017-11-26,2017-11-26,1356,C,2001,INR
1234500868,2017-11-28,2017-11-28,382,C,2001,HKD
1234500411,2017-12-06,2017-12-06,426,C,2001,HKD
1234500423,2017-11-22,2017-11-22,160,D,10001,CAD
1234500922,2017-07-27,2017-07-27,497,C,2001,CAD
1234500599,2018-03-11,2018-03-11,343,D,10001,HKD
1234500007,2017-12-18,2017-12-18,1250,C,2001,USD
1234500116,2018-01-17,2018-01-17,178,C,2001,USD
1234500104,2017-10-13,2017-10-13,674,D,10001,HKD
1234500664,2017-09-01,2017-09-01,385,C,2001,HKD
1234500552,2017-07-15,2017-07-15,910,D,10001,USD
1234500484,2017-10-16,2017-10-16,664,D,10001,CAD
1234500764,2017-08-18,2017-08-18,1408,C,2001,USD
1234500670,2017-11-22,2017-11-22,508,D,10001,CAD
1234500562,2017-10-02,2017-10-02,979,C,2001,INR
1234500741,2017-07-27,2017-07-27,877,C,2001,CAD
1234500631,2018-01-04,2018-01-04,387,D,10001,CAD
1234500916,2017-12-19,2017-12-19,567,D,10001,USD
1234500683,2018-02-15,2018-02-15,682,C,2001,CAD
1234500323,2017-11-13,2017-11-13,913,D,10001,CAD
1234500577,2017-12-30,2017-12-30,1332,D,10001,HKD
1234500325,2017-07-24,2017-07-24,939,D,10001,INR
1234500935,2018-01-15,2018-01-15,1155,C,2001,INR
1234500170,2018-02-06,2018-02-06,612,D,10001,INR
1234500394,2017-10-08,2017-10-08,189,D,10001,HKD
1234500023,2017-12-07,2017-12-07,728,C,2001,USD
1234500348,2018-03-27,2018-03-27,886,D,10001,HKD
1234500249,2017-10-28,2017-10-28,367,C,2001,INR
1234500885,2018-01-19,2018-01-19,477,C,2001,USD
1234500263,2017-08-19,2017-08-19,585,C,2001,INR
1234500048,2017-09-06,2017-09-06,1057,C,2001,INR
1234500852,2017-09-02,2017-09-02,432,C,2001,HKD
1234500365,2018-01-28,2018-01-28,796,D,10001,CAD
1234500349,2018-03-23,2018-03-23,993,C,2001,HKD
1234500774,2018-01-28,2018-01-28,508,C,2001,INR
1234500790,2018-03-07,2018-03-07,933,C,2001,USD
1234500860,2018-03-30,2018-03-30,821,C,2001,CAD
1234500234,2018-01-16,2018-01-16,1424,D,10001,INR
1234500717,2018-02-19,2018-02-19,1283,C,2001,HKD
1234500723,2018-03-10,2018-03-10,918,C,2001,USD
1234500148,2018-01-07,2018-01-07,1183,D,10001,CAD
1234500788,2017-12-25,2017-12-25,102,D,10001,HKD
1234500147,2017-09-22,2017-09-22,1166,C,2001,USD
1234500920,2017-09-26,2017-09-26,669,C,2001,USD
1234500324,2017-08-13,2017-08-13,832,D,10001,HKD
1234500782,2017-08-11,2017-08-11,769,D,10001,USD
1234500189,2017-08-11,2017-08-11,1092,D,10001,CAD
1234500654,2017-12-27,2017-12-27,379,C,2001,USD
1234500920,2018-02-01,2018-02-01,527,C,2001,CAD
1234500386,2017-08-20,2017-08-20,531,C,2001,CAD
1234500336,2017-10-24,2017-10-24,224,D,10001,INR
1234500251,2017-12-20,2017-12-20,844,D,10001,INR
1234500364,2017-09-05,2017-09-05,418,D,10001,USD
1234500352,2018-02-09,2018-02-09,1243,D,10001,INR
1234500205,2017-08-26,2017-08-26,417,D,10001,INR
1234500202,2017-12-16,2017-12-16,975,D,10001,HKD
1234500010,2017-08-31,2017-08-31,992,D,10001,INR
1234500464,2017-09-18,2017-09-18,398,C,2001,CAD
1234500280,2017-11-25,2017-11-25,108,C,2001,HKD
1234500233,2017-07-26,2017-07-26,1202,D,10001,USD
1234500049,2017-10-01,2017-10-01,622,C,2001,USD
1234500862,2017-08-24,2017-08-24,516,C,2001,INR
1234500486,2018-03-26,2018-03-26,896,D,10001,INR
1234500718,2017-09-28,2017-09-28,247,D,10001,HKD
1234500923,2018-03-09,2018-03-09,1154,C,2001,USD
1234500483,2017-08-19,2017-08-19,1194,C,2001,USD
1234500624,2017-09-01,2017-09-01,555,C,2001,HKD
1234500840,2017-10-14,2017-10-14,853,C,2001,INR
1234500824,2017-11-22,2017-11-22,366,C,2001,INR
1234500218,2017-08-24,2017-08-24,631,C,2001,INR
1234500628,2018-01-29,2018-01-29,255,D,10001,CAD
1234500552,2018-03-21,2018-03-21,984,D,10001,CAD
1234500013,2017-11-26,2017-11-26,1330,C,2001,USD
1234500710,2017-09-28,2017-09-28,409,D,10001,HKD
1234500356,2018-03-13,2018-03-13,1177,D,10001,INR
1234500489,2017-10-10,2017-10-10,193,D,10001,HKD
1234500902,2017-11-14,2017-11-14,276,C,2001,CAD
1234500744,2018-03-13,2018-03-13,469,D,10001,USD
1234500043,2018-02-11,2018-02-11,839,D,10001,HKD
1234500802,2017-11-14,2017-11-14,816,C,2001,USD
1234500856,2017-08-27,2017-08-27,882,C,2001,INR
1234500991,2017-11-21,2017-11-21,545,D,10001,CAD
1234500001,2017-10-08,2017-10-08,287,D,10001,HKD
1234500251,2018-01-28,2018-01-28,755,C,2001,INR
1234500051,2017-10-08,2017-10-08,446,D,10001,CAD
1234500342,2018-02-14,2018-02-14,1370,D,10001,CAD
1234500171,2017-12-03,2017-12-03,566,D,10001,CAD
1234500953,2017-08-29,2017-08-29,660,C,2001,CAD
1234500520,2017-10-11,2017-10-11,1458,D,10001,CAD
1234500437,2018-03-15,2018-03-15,441,D,10001,INR
1234500225,2017-11-29,2017-11-29,1339,D,10001,CAD
1234500193,2017-07-17,2017-07-17,1440,D,10001,CAD
1234500313,2018-02-01,2018-02-01,915,D,10001,USD
1234500739,2017-11-08,2017-11-08,493,D,10001,USD
1234500007,2017-12-23,2017-12-23,1061,D,10001,CAD
1234500594,2018-03-03,2018-03-03,562,C,2001,INR
1234500257,2017-12-15,2017-12-15,1300,C,2001,CAD
1234500315,2018-02-17,2018-02-17,403,C,2001,USD
1234500682,2017-10-03,2017-10-03,353,D,10001,INR
1234500379,2017-12-12,2017-12-12,1314,D,10001,CAD
1234500416,2018-03-31,2018-03-31,1463,D,10001,INR
1234500385,2018-01-01,2018-01-01,295,C,2001,HKD
1234500657,2018-02-06,2018-02-06,804,D,10001,USD
1234500944,2017-10-13,2017-10-13,1344,C,2001,USD
1234500054,2017-09-22,2017-09-22,385,C,2001,HKD
1234500454,2017-07-28,2017-07-28,537,C,2001,INR
1234500128,2017-07-03,2017-07-03,347,C,2001,USD
